Model,Model Path,Macro Precision,Macro Recall,Macro F1,Training Emissions (kg CO2),Eval Emissions (kg CO2),Total Emissions (kg CO2)
albert_chinese,uer/albert-base-chinese-cluecorpussmall,0.9161417380758714,0.9178349312336578,0.9169788909036918,0.0006217594650386006,8.184969423661917e-06,0.0006299444344622625
rbt6,hfl/rbt6,0.9349204644296036,0.9358089357203003,0.9353622748431492,0.0004862920395363968,5.7782547535224795e-06,0.0004920702942899193
macbert,hfl/chinese-macbert-base,0.9215729202775598,0.9388753004636479,0.9291202105528458,0.0009673866837300343,9.261188488184499e-06,0.0009766478722182188
bert_chinese,bert-base-chinese,0.9289297571514237,0.9332385074633165,0.9310244910300343,0.0009120518714593532,9.389143174448742e-06,0.0009214410146338019
